hhid,round,comment,foodclass,foodtype,s11q2,s11q6a,s11q7
1004,6,0,OILS AND FATS,Cooking fat (solids),No,,
1004,6,0,SUGAR,Sugar,Yes,PURCHASE,Seven days
1004,6,0,SALT AND SPICES,Salt,Yes,PURCHASE,Seven days
1004,6,0,SALT AND SPICES,"Spices (chilli, etc.)",Yes,PURCHASE,Two days
1004,6,0,VEGETABLES,Onions,Yes,PURCHASE,Seven days
1004,6,0,VEGETABLES,Tomatoes and tomato paste,Yes,PURCHASE,Seven days
1004,6,0,VEGETABLES,"Other vegetables (Sukuma wiki, cabbage, pepper, lettuce, etc.)",Yes,PURCHASE,Four days
1004,6,0,FRUITS,"Fruits (banana, lemon, etc.)",Yes,PURCHASE,Three days
1004,6,0,DRINKS,Tea leaves,Yes,PURCHASE,Seven days
1004,6,0,DRINKS,Other drinks,Yes,PURCHASE,Four days
1004,6,0,OTHER,"Tobacco (cigarettes, loose tobacco)",No,,
1004,6,0,OTHER,Chat/qat/miraa,No,,
1004,6,0,OTHER,"Meals eaten out, ready-made foods, ceremonial meals",Yes,PURCHASE,Three days
1004,6,0,WILD FOOD,Wild food,No,,
1005,6,0,CEREALS,Maize - grain,Yes,SELF PRODUCTION,Two days
1005,6,0,CEREALS,Maize - flour (pre-packed),No,,
1005,6,0,CEREALS,Maize - flour (Posho),Yes,SELF PRODUCTION,Five days
1005,6,0,CEREALS,Wheat flour,Yes,PURCHASE,Five days
1005,6,0,CEREALS,Rice,Yes,PURCHASE,Three days
1005,6,0,CEREALS,"Other cereals (grains, pasta, bread)",No,,
1005,6,0,ROOTS AND TUBERS,Potatoes and other roots and tubers,Yes,PURCHASE,Four days
1005,6,0,"PULSES, LEGUMES, NUTS","Dried beans (society/haja) and other pulses, legumes, nuts",Yes,SELF PRODUCTION,Three days
1005,6,0,EGGS,Eggs,Yes,SELF PRODUCTION,Four days
1005,6,0,MILK AND MILK PRODUCTS,"Milk (fresh, powdered, soured)",Yes,PURCHASE,Seven days
1005,6,0,"MEAT, POULTRY, OFFAL",Goat meat/ sheep meat,Yes,PURCHASE,Three days
1005,6,0,"MEAT, POULTRY, OFFAL","Other meat/chicken, blood, fish",No,,
