hhid,round,comment,s12q14,s12q15,s12q1,s12q1b,s12q2,s12q2b,s12q3,s12q4,s12q5,s12q6,s12q6b,s12q7,s12q8,s12q9,s12q9b,s12q10a,s12q10b,s12q11,s12q12,s12q12b,s12q13
1002,1,,,,Mud/Dung,,Wood,,2,Traditional fire,Purchased firewood,Paraffin,,Yes,Covered pit latrine,Rainwater catchment,,0,5,No,Borehole,,Yes
1002,3,0,Remained the same,,,,,,,,,,,,,Unprotected well,,2,,No,Unprotected well,,Yes
1002,4,0,Remained the same,,,,,,,,,,,,,Unprotected well,,8,,No,Unprotected well,,Yes
1002,5,0,Remained the same,,,,,,,,,,,,,Public tap,,1,,Yes,Public tap,,No
1002,6,0,Remained the same,,,,,,,,,,,,,Public tap,,0,20,Yes,Public tap,,No
1003,1,,,,Brick/Block/Cement,,Cement,,4,Traditional fire,Purchased firewood,Paraffin,,Yes,Covered pit latrine,Rainwater catchment,,0,5,No,Borehole,,Yes
1003,3,0,Remained the same,,,,,,,,,,,,,Rainwater catchment,,0,2,Yes,Water tanker,,Yes
1003,4,0,Remained the same,,,,,,,,,,,,,Public tap,,1,,Yes,Public tap,,Yes
1003,5,0,Remained the same,,,,,,,,,,,,,Protected well,,1,,No,Protected well,,Yes
1003,6,0,Remained the same,,,,,,,,,,,,,Borehole,,1,,Yes,Unprotected well,,No
1004,1,,,,Brick/Block/Cement,,Cement,,3,Traditional fire,Purchased firewood,Electricity,,Yes,Covered pit latrine,Rainwater catchment,,0,5,No,Water tanker,,No
1004,3,0,Remained the same,,,,,,,,,,,,,Water tanker,,2,,Yes,Water tanker,,No
1004,4,0,Remained the same,,,,,,,,,,,,,Rainwater catchment,,0,2,No,Rainwater catchment,,Yes
1004,5,0,Remained the same,,,,,,,,,,,,,Rainwater catchment,,0,0,No,Rainwater catchment,,No
1004,6,0,Remained the same,,,,,,,,,,,,,Borehole,,0,2,No,Borehole,,No
1005,1,,,,Mud/Dung,,Sand/Earth,,2,Traditional fire,Purchased firewood,Paraffin,,Yes,Uncovered pit latrine,Rainwater catchment,,0,5,No,Borehole,,Yes
1005,3,0,Remained the same,,,,,,,,,,,,,Unprotected well,,3,,No,Unprotected well,,Yes
1005,4,0,Remained the same,,,,,,,,,,,,,Protected well,,3,,Yes,Protected well,,Yes
1005,5,0,Remained the same,,,,,,,,,,,,,Pan,,3,,Yes,Unprotected well,,Yes
1005,6,0,Remained the same,,,,,,,,,,,,,Borehole,,0,5,Yes,Unprotected well,,No
1006,1,,,,Brick/Block/Cement,,Cement,,4,Traditional fire,Collected firewood,Solar,,Yes,Covered pit latrine,Rainwater catchment,,0,5,No,Water tanker,,No
1006,3,0,improved,,Brick/Block/Cement,,Cement,,2,Traditional fire,Purchased firewood,Electricity,,Yes,Covered pit latrine,Public tap,,0,20,Yes,Public tap,,No
1006,4,0,Remained the same,,,,,,,,,,,,,Rainwater catchment,,0,0,No,Piped into dwelling or compound,,No
1006,5,0,Remained the same,,,,,,,,,,,,,Rainwater catchment,,0,0,No,Rainwater catchment,,No
1006,6,0,Remained the same,,,,,,,,,,,,,Rainwater catchment,,0,0,No,Rainwater catchment,,No
1007,1,,,,Brick/Block/Cement,,Cement,,6,Traditional fire,Collected firewood,Paraffin,,Yes,Covered pit latrine,Rainwater catchment,,0,5,No,Borehole,,Yes
1007,3,0,Remained the same,,,,,,,,,,,,,Unprotected well,,3,,Yes,Unprotected well,,Yes
1007,4,0,Remained the same,,,,,,,,,,,,,Pan,,5,,Yes,Protected well,,Yes
1007,5,0,Remained the same,,,,,,,,,,,,,Public tap,,1,,Yes,Public tap,,No
1007,6,0,Worsened,,Brick/Block/Cement,,Cement,,3,Traditional fire,Collected firewood,Paraffin,,Yes,Uncovered pit latrine,Protected well,,0,10,Yes,Public tap,,Yes
1008,1,,,,Brick/Block/Cement,,Sand/Earth,,4,Traditional fire,Collected firewood,Paraffin,,Yes,Covered pit latrine,Rainwater catchment,,0,5,No,Borehole,,Yes
1008,3,0,Remained the same,,,,,,,,,,,,,Unprotected well,,4,,Yes,Unprotected well,,Yes
1008,4,0,Remained the same,,,,,,,,,,,,,Rainwater catchment,,0,0,No,Unprotected well,,No
1008,5,0,Remained the same,,,,,,,,,,,,,Unprotected well,,2,,Yes,Unprotected well,,Yes
1008,6,0,Remained the same,,,,,,,,,,,,,Protected well,,0,30,Yes,Unprotected well,,No
1009,1,,,,Wood,,Sand/Earth,,3,Traditional fire,Collected firewood,Paraffin,,Yes,Uncovered pit latrine,Rainwater catchment,,0,5,No,Borehole,,Yes
1009,3,0,Remained the same,,,,,,,,,,,,,Unprotected well,,3,,Yes,Unprotected well,,Yes
1009,4,0,Remained the same,,,,,,,,,,,,,Rainwater catchment,,0,0,No,Pan,,Yes
1009,5,0,Remained the same,,,,,,,,,,,,,Borehole,,2,,Yes,Borehole,,Yes
1009,6,0,Remained the same,,,,,,,,,,,,,Unprotected well,,1,,Yes,Unprotected well,,Yes
1010,1,,,,Brick/Block/Cement,,Cement,,6,Traditional fire,Purchased firewood,Electricity,,Yes,Covered pit latrine,Rainwater catchment,,0,5,Yes,Water vendors,,No
1010,3,0,Remained the same,,,,,,,,,,,,,Water vendors,,0,3,Yes,Water vendors,,Yes
1010,4,0,Remained the same,,,,,,,,,,,,,Rainwater catchment,,0,0,Yes,Public tap,,Yes
1010,5,0,Remained the same,,,,,,,,,,,,,Piped into dwelling or compound,,.b,.b,No,Piped into dwelling or compound,,No
1010,6,0,Remained the same,,,,,,,,,,,,,Piped into dwelling or compound,,.b,.b,No,Piped into dwelling or compound,,No
1011,1,,,,Brick/Block/Cement,,Sand/Earth,,2,Traditional fire,Collected firewood,Paraffin,,Yes,Covered pit latrine,Rainwater catchment,,0,5,Yes,Water vendors,,No
1011,3,0,improved,,Brick/Block/Cement,,Cement,,7,Traditional fire,Purchased firewood,Paraffin,,Yes,Ventilation improved pit latrine,Water vendors,,1,,Yes,Water vendors,,Yes
1011,4,0,Remained the same,,,,,,,,,,,,,Public tap,,1,,Yes,Unprotected well,,Yes
1011,5,0,Remained the same,,,,,,,,,,,,,Public tap,,0,1,Yes,Public tap,,Yes
1011,6,0,improved,,Brick/Block/Cement,,Tiles,,3,Traditional fire,Purchased firewood,Electricity,,Yes,Covered pit latrine,Rainwater catchment,,0,0,No,Borehole,,No
1012,1,,,,Brick/Block/Cement,,Cement,,2,Traditional fire,Collected firewood,Paraffin,,Yes,Covered pit latrine,Rainwater catchment,,0,5,Yes,Water vendors,,No
1012,3,0,Remained the same,,,,,,,,,,,,,Protected well,,3,,No,Unprotected well,,Yes
1012,4,0,Remained the same,,,,,,,,,,,,,Public tap,,1,,Yes,Pan,,No
1012,5,0,Remained the same,,,,,,,,,,,,,Piped into dwelling or compound,,.b,.b,No,Piped into dwelling or compound,,No
1012,6,0,Remained the same,,,,,,,,,,,,,Public tap,,0,30,Yes,Public tap,,No
1013,1,,,,Mud/Dung,,Sand/Earth,,2,Traditional fire,Purchased firewood,Paraffin,,Yes,Covered pit latrine,Rainwater catchment,,0,5,Yes,Water vendors,,Yes
1013,3,0,Remained the same,,,,,,,,,,,,,Public tap,,1,,Yes,Public tap,,Yes
1013,4,0,Remained the same,,,,,,,,,,,,,Public tap,,1,,No,Public tap,,No
1013,5,0,Remained the same,,,,,,,,,,,,,Borehole,,0,30,Yes,Borehole,,Yes
1013,6,0,Remained the same,,,,,,,,,,,,,Public tap,,10,,Yes,Public tap,,Yes
1014,1,,,,Brick/Block/Cement,,Cement,,2,Traditional fire,Purchased firewood,Paraffin,,Yes,Covered pit latrine,Water tanker,,0,10,Yes,Borehole,,No
1014,3,0,Remained the same,,,,,,,,,,,,,Water tanker,,0,0,Yes,Water tanker,,Yes
1014,4,0,Remained the same,,,,,,,,,,,,,Public tap,,0,5,Yes,Public tap,,No
1014,5,0,Remained the same,,,,,,,,,,,,,Piped into dwelling or compound,,.b,.b,Yes,Piped into dwelling or compound,,Yes
1014,6,0,Remained the same,,,,,,,,,,,,,Piped into dwelling or compound,,.b,.b,No,Piped into dwelling or compound,,No
1015,1,,,,Brick/Block/Cement,,Cement,,1,Traditional fire,Collected firewood,Paraffin,,Yes,Covered pit latrine,Rainwater catchment,,0,5,No,Borehole,,No
1015,3,0,Remained the same,,,,,,,,,,,,,Water vendors,,1,,Yes,Water vendors,,Yes
1015,4,0,Remained the same,,,,,,,,,,,,,Public tap,,1,,Yes,Public tap,,Yes
1015,5,0,Remained the same,,,,,,,,,,,,,Public tap,,1,,No,Public tap,,No
1015,6,0,Remained the same,,,,,,,,,,,,,Piped into dwelling or compound,,.b,.b,Yes,Public tap,,No
1016,1,,,,Mud/Dung,,Sand/Earth,,2,Traditional fire,Collected firewood,Collected firewood,,Yes,Uncovered pit latrine,Rainwater catchment,,0,5,Yes,Water vendors,,No
1016,3,0,Remained the same,,,,,,,,,,,,,Unprotected well,,3,,No,Unprotected well,,Yes
1016,4,0,Remained the same,,,,,,,,,,,,,Public tap,,1,,Yes,Borehole,,Yes
1016,5,0,Remained the same,,,,,,,,,,,,,Dam,,1,,Yes,Dam,,No
1016,6,0,improved,,Mud/Dung,,Sand/Earth,,2,Traditional fire,Collected firewood,Electricity,,Yes,Uncovered pit latrine,Public tap,,0,10,Yes,Public tap,,No
1017,1,,,,Brick/Block/Cement,,Cement,,5,Traditional fire,Purchased firewood,Paraffin,,Yes,Covered pit latrine,Rainwater catchment,,0,5,No,Water tanker,,Yes
1017,3,0,Remained the same,,,,,,,,,,,,,Public tap,,0,30,Yes,Public tap,,No
1017,4,0,Remained the same,,,,,,,,,,,,,Rainwater catchment,,0,0,No,Public tap,,No
1017,5,0,Remained the same,,,,,,,,,,,,,Public tap,,1,,Yes,Public tap,,No
1017,6,0,Remained the same,,,,,,,,,,,,,Public tap,,0,10,Yes,Public tap,,Yes
1018,1,,,,Brick/Block/Cement,,Sand/Earth,,6,Traditional fire,Purchased firewood,Paraffin,,Yes,Covered pit latrine,Water tanker,,8,0,Yes,Water tanker,,Yes
1018,3,0,Remained the same,,,,,,,,,,,,,Water tanker,,0,0,Yes,Water tanker,,Yes
1018,4,0,Remained the same,,,,,,,,,,,,,Public tap,,0,30,Yes,Public tap,,Yes
1018,5,0,Remained the same,,,,,,,,,,,,,Public tap,,1,,Yes,Public tap,,No
1018,6,0,Remained the same,,,,,,,,,,,,,Borehole,,1,,Yes,Borehole,,No
1019,1,,,,Brick/Block/Cement,,Cement,,2,Traditional fire,Collected firewood,Paraffin,,Yes,Uncovered pit latrine,Rainwater catchment,,1,10,No,Unprotected well,,Yes
1019,3,0,improved,,Brick/Block/Cement,,Cement,,2,Improved jiko,Charcoal,Electricity,,Yes,Ventilation improved pit latrine,Water vendors,,0,1,Yes,Public tap,,Yes
1019,4,0,Remained the same,,,,,,,,,,,,,Public tap,,0,30,Yes,Public tap,,No
1019,5,0,Remained the same,,,,,,,,,,,,,Public tap,,0,30,Yes,Public tap,,No
1019,6,0,Remained the same,,,,,,,,,,,,,Borehole,,0,40,Yes,Borehole,,No
1020,1,,,,Brick/Block/Cement,,Cement,,6,Traditional fire,Collected firewood,Electricity,,Yes,Covered pit latrine,Rainwater catchment,,0,2,No,Water tanker,,Yes
1020,3,0,Remained the same,,,,,,,,,,,,,Water tanker,,1,,Yes,Water tanker,,No
1021,1,,,,Brick/Block/Cement,,Cement,,7,Traditional fire,Purchased firewood,Solar,,Yes,Covered pit latrine,Rainwater catchment,,0,5,Yes,Water vendors,,No
1021,3,0,improved,,Mud/Dung,,Cement,,4,Traditional fire,Collected firewood,Electricity,,Yes,Covered pit latrine,Water vendors,,0,0,Yes,Unprotected well,,Yes
1021,4,0,Remained the same,,,,,,,,,,,,,Public tap,,1,,Yes,Unprotected well,,Yes
1021,5,0,Remained the same,,,,,,,,,,,,,Public tap,,1,,Yes,Protected well,,No
1021,6,0,Remained the same,,,,,,,,,,,,,Public tap,,0,30,Yes,Public tap,,No
1022,1,,,,Brick/Block/Cement,,Sand/Earth,,2,Traditional fire,Purchased firewood,Paraffin,,Yes,Covered pit latrine,Rainwater catchment,,0,5,Yes,Water vendors,,Yes
1022,3,0,Remained the same,,,,,,,,,,,,,Public tap,,2,,Yes,Public tap,,No
1022,4,0,Remained the same,,,,,,,,,,,,,Unprotected well,,2,,No,Unprotected well,,Yes
1022,5,0,Remained the same,,,,,,,,,,,,,Rainwater catchment,,0,0,No,Public tap,,No
1022,6,0,Remained the same,,,,,,,,,,,,,Public tap,,0,20,Yes,Public tap,,No
1023,1,,,,Mud/Dung,,Sand/Earth,,2,Traditional fire,Collected firewood,Paraffin,,Yes,Covered pit latrine,Rainwater catchment,,0,5,No,Borehole,,Yes
1023,3,0,Remained the same,,,,,,,,,,,,,Unprotected well,,2,,No,Unprotected well,,Yes
1023,4,0,Remained the same,,,,,,,,,,,,,Unprotected well,,4,,No,Unprotected well,,No
1023,5,0,Remained the same,,,,,,,,,,,,,Unprotected well,,2,,No,Unprotected well,,Yes
1023,6,0,Remained the same,,,,,,,,,,,,,Unprotected well,,1,,No,Unprotected well,,Yes
1024,1,,,,Mud/Dung,,Sand/Earth,,3,Traditional fire,Collected firewood,Paraffin,,Yes,Covered pit latrine,Rainwater catchment,,0,5,No,Borehole,,Yes
1024,3,0,Remained the same,,,,,,,,,,,,,Unprotected well,,1,,Yes,Unprotected well,,Yes
1024,4,0,Remained the same,,,,,,,,,,,,,Unprotected well,,1,,No,Unprotected well,,Yes
1024,5,0,Remained the same,,,,,,,,,,,,,Protected well,,1,,No,Protected well,,Yes
1024,6,0,Remained the same,,,,,,,,,,,,,Unprotected well,,1,,Yes,Unprotected well,,Yes
1025,1,,,,Wood,,Sand/Earth,,2,Traditional fire,Collected firewood,Paraffin,,No,,Rainwater catchment,,0,5,No,Borehole,,No
1025,3,0,improved,,Mud/Dung,,Sand/Earth,,1,Traditional fire,Collected firewood,Paraffin,,Yes,Uncovered pit latrine,Unprotected well,,6,,No,Unprotected well,,Yes
1025,4,0,Remained the same,,,,,,,,,,,,,Unprotected well,,2,,No,Unprotected well,,Yes
1025,5,0,Remained the same,,,,,,,,,,,,,Protected well,,2,,Yes,Protected well,,Yes
1025,6,0,Remained the same,,,,,,,,,,,,,Unprotected well,,2,,No,Unprotected well,,Yes
1026,1,,,,Mud/Dung,,Sand/Earth,,5,Traditional fire,Purchased firewood,Paraffin,,Yes,Covered pit latrine,Rainwater catchment,,0,5,No,Borehole,,Yes
1026,3,0,Remained the same,,,,,,,,,,,,,Unprotected well,,2,,No,Unprotected well,,Yes
1026,4,0,Remained the same,,,,,,,,,,,,,Unprotected well,,2,,Yes,Unprotected well,,Yes
1026,5,0,Remained the same,,,,,,,,,,,,,Public tap,,2,,No,Public tap,,No
1026,6,0,Remained the same,,,,,,,,,,,,,,,.b,.b,Yes,Unprotected well,,Yes
1027,1,,,,Mud/Dung,,Sand/Earth,,3,Traditional fire,Collected firewood,Paraffin,,Yes,Covered pit latrine,Borehole,,8,0,No,Borehole,,Yes
1027,3,0,Remained the same,,,,,,,,,,,,,Water tanker,,2,,Yes,Water tanker,,No
1027,4,0,Remained the same,,,,,,,,,,,,,Rainwater catchment,,0,0,No,Public tap,,No
1027,5,0,Remained the same,,,,,,,,,,,,,Piped into dwelling or compound,,.b,.b,Yes,Piped into dwelling or compound,,Yes
1027,6,0,Remained the same,,,,,,,,,,,,,Piped into dwelling or compound,,.b,.b,Yes,Piped into dwelling or compound,,Yes
1029,1,,,,Brick/Block/Cement,,Cement,,4,Traditional fire,Purchased firewood,Paraffin,,Yes,Covered pit latrine,Rainwater catchment,,0,5,Yes,Water vendors,,No
1029,3,0,Remained the same,,,,,,,,,,,,,Public tap,,1,,Yes,Public tap,,No
1029,4,0,Remained the same,,,,,,,,,,,,,Public tap,,0,40,Yes,Public tap,,Yes
1029,5,0,Remained the same,,,,,,,,,,,,,Public tap,,0,30,Yes,Public tap,,No
1029,6,0,Remained the same,,,,,,,,,,,,,Borehole,,0,15,Yes,Borehole,,No
1031,1,,,,Brick/Block/Cement,,Cement,,6,Traditional fire,Purchased firewood,Paraffin,,Yes,Covered pit latrine,Water tanker,,2,0,Yes,Rainwater catchment,,No
1031,3,0,Remained the same,,,,,,,,,,,,,Public tap,,1,,Yes,Unprotected spring,,No
1031,4,0,Remained the same,,,,,,,,,,,,,Unprotected well,,2,,Yes,Unprotected well,,Yes
1031,5,0,Remained the same,,,,,,,,,,,,,Protected well,,1,,No,Protected well,,Yes
1031,6,0,Remained the same,,,,,,,,,,,,,Public tap,,0,30,Yes,Unprotected well,,Yes
1032,1,,,,Brick/Block/Cement,,Cement,,3,Traditional fire,Purchased firewood,Electricity,,Yes,Covered pit latrine,Rainwater catchment,,0,5,Yes,Water vendors,,No
1032,3,0,Remained the same,,,,,,,,,,,,,Water tanker,,0,0,Yes,Water tanker,,No
1032,4,0,Remained the same,,,,,,,,,,,,,Unprotected well,,2,,No,Unprotected well,,Yes
1032,5,0,Remained the same,,,,,,,,,,,,,Piped into dwelling or compound,,.b,.b,Yes,Piped into dwelling or compound,,No
1032,6,0,Remained the same,,,,,,,,,,,,,Public tap,,0,2,No,Public tap,,No
1033,1,,,,Brick/Block/Cement,,Cement,,5,Traditional fire,Purchased firewood,Paraffin,,Yes,Covered pit latrine,Rainwater catchment,,0,5,No,Dam,,Yes
1033,3,0,Remained the same,,,,,,,,,,,,,Water tanker,,1,,Yes,Water tanker,,No
1033,4,0,Remained the same,,,,,,,,,,,,,Public tap,,0,40,Yes,Public tap,,Yes
1033,5,0,Remained the same,,,,,,,,,,,,,Unprotected well,,0,30,No,Unprotected well,,Yes
1033,6,0,Remained the same,,,,,,,,,,,,,Public tap,,0,40,Yes,Unprotected well,,Yes
1034,1,,,,Mud/Dung,,Cement,,7,Traditional fire,Purchased firewood,Paraffin,,Yes,Covered pit latrine,Water tanker,,1,0,Yes,Borehole,,Yes
1034,3,0,Remained the same,,,,,,,,,,,,,Unprotected well,,2,,No,Unprotected well,,Yes
1034,4,0,Remained the same,,,,,,,,,,,,,Unprotected well,,4,,No,Unprotected well,,Yes
1034,5,0,Remained the same,,,,,,,,,,,,,Pan,,1,,Yes,Pan,,No
1034,6,0,Remained the same,,,,,,,,,,,,,Public tap,,0,30,Yes,Unprotected well,,Yes
1035,1,,,,Brick/Block/Cement,,Cement,,5,Traditional fire,Purchased firewood,Electricity,,Yes,Covered pit latrine,Rainwater catchment,,0,5,Yes,Water vendors,,No
1035,3,0,Remained the same,,,,,,,,,,,,,Water tanker,,0,0,Yes,Water tanker,,No
1035,4,0,Remained the same,,,,,,,,,,,,,Piped into dwelling or compound,,.b,.b,Yes,Piped into dwelling or compound,,No
1035,5,0,Remained the same,,,,,,,,,,,,,Public tap,,0,30,Yes,Public tap,,No
1035,6,0,Remained the same,,,,,,,,,,,,,Piped into dwelling or compound,,.b,.b,Yes,Piped into dwelling or compound,,No
1036,1,,,,Brick/Block/Cement,,Cement,,3,Traditional fire,Collected firewood,Paraffin,,Yes,Covered pit latrine,Water tanker,,4,0,Yes,Dam,,Yes
1036,3,0,Remained the same,,,,,,,,,,,,,Unprotected well,,2,,No,Unprotected well,,Yes
1036,4,0,Remained the same,,,,,,,,,,,,,Public tap,,1,,Yes,Public tap,,No
1036,5,0,Remained the same,,,,,,,,,,,,,Public tap,,0,30,Yes,Public tap,,No
1036,6,0,Remained the same,,,,,,,,,,,,,Public tap,,0,20,Yes,Public tap,,Yes
1037,1,,,,Brick/Block/Cement,,Cement,,7,Traditional fire,Purchased firewood,Electricity,,Yes,Covered pit latrine,Water tanker,,0,10,Yes,Dam,,No
1037,3,0,Remained the same,,,,,,,,,,,,,Water tanker,,0,0,Yes,Water tanker,,No
1037,4,0,Remained the same,,,,,,,,,,,,,Unprotected well,,6,,No,Unprotected well,,Yes
1037,5,0,Remained the same,,,,,,,,,,,,,Unprotected well,,0,30,Yes,Unprotected well,,Yes
1038,1,,,,Brick/Block/Cement,,Cement,,5,Traditional fire,Purchased firewood,Paraffin,,Yes,Covered pit latrine,Rainwater catchment,,0,5,No,Water tanker,,Yes
1038,3,0,Remained the same,,,,,,,,,,,,,Public tap,,0,30,Yes,Public tap,,Yes
1038,4,0,Remained the same,,,,,,,,,,,,,Unprotected well,,3,,Yes,Unprotected well,,No
1038,5,0,Remained the same,,,,,,,,,,,,,Water tanker,,0,30,Yes,Water tanker,,No
1038,6,0,Remained the same,,,,,,,,,,,,,Public tap,,0,40,Yes,Unprotected well,,Yes
1039,1,,,,Mud/Dung,,Cement,,2,Traditional fire,Collected firewood,Paraffin,,Yes,Covered pit latrine,Rainwater catchment,,0,2,Yes,Water vendors,,No
1039,3,0,Worsened,,Mud/Dung,,Cement,,2,Traditional fire,Collected firewood,Paraffin,,Yes,Covered pit latrine,Unprotected well,,1,,No,Unprotected well,,No
1039,4,0,Remained the same,,,,,,,,,,,,,Public tap,,2,,Yes,Public tap,,Yes
1039,5,0,Remained the same,,,,,,,,,,,,,Dam,,1,,Yes,Dam,,No
1039,6,0,Remained the same,,,,,,,,,,,,,Protected well,,0,30,Yes,Unprotected well,,Yes
1042,4,0,,Remained the same,Brick/Block/Cement,,Cement,,4,Traditional fire,Purchased firewood,Electricity,,Yes,Covered pit latrine,Rainwater catchment,,0,0,No,Public tap,,Yes
1042,5,0,Remained the same,,,,,,,,,,,,,Piped into dwelling or compound,,.b,.b,Yes,Piped into dwelling or compound,,No
1042,6,0,improved,,Brick/Block/Cement,,Tiles,,3,Traditional fire,Purchased firewood,Electricity,,Yes,Covered pit latrine,Public tap,,0,40,Yes,Public tap,,Yes
1043,1,,,,Brick/Block/Cement,,Tiles,,2,Kerosene stove,Paraffin,Paraffin,,Yes,Covered pit latrine,Rainwater catchment,,0,5,Yes,Water vendors,,No
1043,3,0,Remained the same,,,,,,,,,,,,,Water tanker,,0,30,No,Protected well,,No
1043,4,0,Remained the same,,,,,,,,,,,,,Water vendors,,0,30,Yes,Piped into dwelling or compound,,No
1043,5,0,Remained the same,,,,,,,,,,,,,Public tap,,0,30,Yes,Public tap,,No
1043,6,0,Remained the same,,,,,,,,,,,,,Piped into dwelling or compound,,.b,.b,Yes,Public tap,,No
1044,6,0,,Remained the same,Brick/Block/Cement,,Cement,,2,Improved jiko,Charcoal,Electricity,,Yes,Covered pit latrine,Piped into dwelling or compound,,.b,.b,Yes,Piped into dwelling or compound,,No
1045,1,,,,Mud/Dung,,Sand/Earth,,2,Traditional fire,Collected firewood,Paraffin,,Yes,Covered pit latrine,Rainwater catchment,,0,5,No,Borehole,,Yes
1045,3,0,Remained the same,,,,,,,,,,,,,Unprotected well,,0,30,No,Unprotected well,,Yes
1045,4,0,Remained the same,,,,,,,,,,,,,Protected well,,1,,No,Protected well,,Yes
1045,5,0,Remained the same,,,,,,,,,,,,,Unprotected well,,1,,Yes,Unprotected well,,Yes
1045,6,0,Remained the same,,,,,,,,,,,,,Unprotected well,,1,,No,Unprotected well,,Yes
1047,1,,,,Mud/Dung,,Sand/Earth,,3,Traditional fire,Purchased firewood,Paraffin,,Yes,Covered pit latrine,Rainwater catchment,,0,5,No,Dam,,Yes
1047,3,0,Worsened,,Mud/Dung,,Sand/Earth,,5,Traditional fire,Collected firewood,Paraffin,,Yes,Ventilation improved pit latrine,Public tap,,1,,Yes,Public tap,,No
1047,4,0,Remained the same,,,,,,,,,,,,,Pan,,1,,Yes,Pan,,Yes
1047,5,0,Remained the same,,,,,,,,,,,,,Protected well,,1,,No,Protected well,,No
1047,6,0,improved,,Brick/Block/Cement,,Cement,,4,Traditional fire,Purchased firewood,Electricity,,Yes,Covered pit latrine,Unprotected well,,2,,No,Unprotected well,,Yes
2001,1,,,,Wood,,Sand/Earth,,2,Traditional fire,Collected firewood,Paraffin,,Yes,Covered pit latrine,Unprotected well,,0,30,Yes,Public tap,,Yes
2001,3,0,Remained the same,,,,,,,,,,,,,Public tap,,1,,Yes,Public tap,,Yes
2001,4,0,Remained the same,,,,,,,,,,,,,Borehole,,0,30,Yes,Borehole,,Yes
2001,5,0,Remained the same,,,,,,,,,,,,,Borehole,,0,45,Yes,Borehole,,Yes
2001,6,0,Remained the same,,,,,,,,,,,,,Unprotected well,,0,45,Yes,Unprotected well,,Yes
2002,1,,,,Wood,,Sand/Earth,,2,Traditional fire,Collected firewood,Paraffin,,Yes,Ventilation improved pit latrine,Public tap,,0,20,Yes,Public tap,,No
2002,3,0,Remained the same,,,,,,,,,,,,,Borehole,,0,30,Yes,Borehole,,Yes
2002,4,0,Remained the same,,,,,,,,,,,,,Public tap,,0,10,Yes,Public tap,,Yes
2002,5,0,Remained the same,,,,,,,,,,,,,Borehole,,0,10,Yes,Borehole,,Yes
2002,6,0,Remained the same,,,,,,,,,,,,,Borehole,,5,,Yes,Borehole,,Yes
2003,1,,,,Wood,,Sand/Earth,,2,Traditional fire,Collected firewood,Collected firewood,,No,,Public tap,,0,15,Yes,Public tap,,No
2004,1,,,,Wood,,Sand/Earth,,3,Traditional fire,Collected firewood,Paraffin,,Yes,Ventilation improved pit latrine,Public tap,,0,20,Yes,Public tap,,Yes
2004,3,0,Worsened,,Mud/Dung,,Sand/Earth,,3,Traditional fire,Collected firewood,Paraffin,,Yes,Covered pit latrine,Public tap,,0,10,Yes,Public tap,,Yes
2004,4,0,Remained the same,,,,,,,,,,,,,Public tap,,0,20,Yes,Public tap,,Yes
2004,5,0,Remained the same,,,,,,,,,,,,,Borehole,,0,20,Yes,Borehole,,Yes
2004,6,0,Remained the same,,,,,,,,,,,,,Public tap,,0,20,Yes,Public tap,,Yes
2005,1,,,,Wood,,Sand/Earth,,3,Traditional fire,Paraffin,Collected firewood,,Yes,Uncovered pit latrine,Public tap,,0,30,Yes,Public tap,,No
2005,3,0,Worsened,,Mud/Dung,,Sand/Earth,,3,Traditional fire,Collected firewood,Paraffin,,Yes,Covered pit latrine,Public tap,,0,20,Yes,Public tap,,Yes
2005,4,0,Remained the same,,,,,,,,,,,,,Public tap,,15,,Yes,Public tap,,No
2005,5,0,Remained the same,,,,,,,,,,,,,Borehole,,0,10,Yes,Borehole,,Yes
2005,6,0,improved,,Mud/Dung,,Sand/Earth,,5,Traditional fire,Collected firewood,Paraffin,,Yes,Covered pit latrine,Protected well,,0,10,Yes,Protected well,,Yes
2006,1,,,,Wood,,Sand/Earth,,2,Traditional fire,Collected firewood,Collected firewood,,No,,Public tap,,0,30,Yes,Public tap,,Yes
2007,1,,,,Wood,,Sand/Earth,,2,Traditional fire,Collected firewood,Paraffin,,No,,Public tap,,0,30,Yes,Public tap,,No
2007,3,0,Remained the same,,,,,,,,,,,,,Borehole,,0,20,Yes,Borehole,,Yes
2007,4,0,Remained the same,,,,,,,,,,,,,Unprotected spring,,0,45,Yes,Unprotected spring,,Yes
2007,5,0,Remained the same,,,,,,,,,,,,,Borehole,,0,30,Yes,Borehole,,Yes
2007,6,0,Remained the same,,,,,,,,,,,,,Borehole,,0,0,Yes,Borehole,,Yes
2008,1,,,,Wood,,Sand/Earth,,3,Traditional fire,Collected firewood,Paraffin,,Yes,Ventilation improved pit latrine,Public tap,,0,10,Yes,Public tap,,No
2008,3,0,Remained the same,,,,,,,,,,,,,Borehole,,0,30,Yes,Borehole,,Yes
2008,4,0,Remained the same,,,,,,,,,,,,,Borehole,,0,30,Yes,Borehole,,Yes
2008,5,0,Remained the same,,,,,,,,,,,,,Borehole,,0,20,Yes,Borehole,,Yes
2008,6,0,Remained the same,,,,,,,,,,,,,Public tap,,0,10,Yes,Public tap,,No
2009,1,,,,Wood,,Sand/Earth,,3,Traditional fire,Paraffin,Collected firewood,,No,,Public tap,,0,30,Yes,Public tap,,Yes
2009,3,0,Remained the same,,,,,,,,,,,,,Borehole,,1,,Yes,Borehole,,Yes
