hhid,round,comment,s12q14,s12q15,s12q1,s12q1b,s12q2,s12q2b,s12q3,s12q4,s12q5,s12q6,s12q6b,s12q7,s12q8,s12q9,s12q9b,s12q10a,s12q10b,s12q11,s12q12,s12q12b,s12q13
14066,3,0,Worsened,,Sticks/Palm/Leaves,,Sand/Earth,,2,Traditional fire,Charcoal,Battery torch,,No,,Public tap,,0,30,No,Public tap,,No
14066,4,0,Remained the same,,,,,,,,,,,,,Public tap,,0,15,No,Public tap,,No
14066,5,0,Remained the same,,,,,,,,,,,,,Public tap,,5,,No,Public tap,,Yes
14066,6,0,Remained the same,,,,,,,,,,,,,Public tap,,0,12,No,Public tap,,Yes
14067,1,,,,Sticks/Palm/Leaves,,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Unprotected well,,0,30,No,Unprotected well,,Yes
14067,3,0,Remained the same,,,,,,,,,,,,,Public tap,,0,30,No,Public tap,,No
14067,4,0,improved,,Grass/Reeds,,Sand/Earth,,2,Traditional fire,Collected firewood,Collected firewood,,No,,Unprotected spring,,0,30,No,Public tap,,Yes
14067,5,0,Remained the same,,,,,,,,,,,,,Lake,,0,40,No,River,,Yes
14067,6,0,Remained the same,,,,,,,,,,,,,Public tap,,0,10,No,Public tap,,Yes
14068,1,,,,Sticks/Palm/Leaves,,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Public tap,,0,10,No,Public tap,,No
14068,3,0,Remained the same,,,,,,,,,,,,,Public tap,,0,6,No,Public tap,,No
14069,1,,,,Sticks/Palm/Leaves,,Sand/Earth,,1,Traditional fire,Purchased firewood,Collected firewood,,No,,Public tap,,0,10,No,Public tap,,No
14069,3,0,Remained the same,,,,,,,,,,,,,Public tap,,0,25,No,Public tap,,Yes
14071,1,,,,Sticks/Palm/Leaves,,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Public tap,,0,5,No,River,,No
